TimeStamp, GSRValue
08:36:165,97
08:36:185,97
08:36:206,97
08:36:226,97
08:36:247,96
08:36:267,97
08:36:287,96
08:36:308,97
08:36:328,96
08:36:349,97
08:36:370,96
08:36:390,96
08:36:410,96
08:36:431,96
08:36:451,96
08:36:472,96
08:36:492,96
08:36:513,96
08:36:534,96
08:36:554,96
08:36:574,95
08:36:595,95
08:36:611,95
08:36:631,94
08:36:652,94
08:36:672,94
08:36:693,94
08:36:713,94
08:36:734,94
08:36:754,93
08:36:775,93
08:36:796,93
08:36:816,93
08:36:836,93
08:36:857,93
08:36:877,93
08:36:898,92
08:36:918,92
08:36:938,92
08:36:959,92
08:36:980,92
08:37:000,91
08:37:021,91
08:37:041,90
08:37:061,91
08:37:082,90
08:37:103,90
08:37:123,90
08:37:144,90
08:37:164,90
08:37:184,90
08:37:205,89
08:37:226,89
08:37:246,89
08:37:267,88
08:37:286,89
08:37:307,88
08:37:328,88
08:37:348,88
08:37:365,88
08:37:386,88
08:37:406,89
08:37:426,88
08:37:447,88
08:37:467,88
08:37:488,88
08:37:508,89
08:37:529,89
08:37:549,88
08:37:569,88
08:37:590,89
08:37:611,89
08:37:631,89
08:37:652,90
08:37:672,89
08:37:693,89
08:37:713,89
08:37:733,89
08:37:754,89
08:37:774,89
08:37:795,89
08:37:815,89
08:37:835,89
08:37:856,89
08:37:876,89
08:37:898,89
08:37:918,89
08:37:939,89
08:37:959,89
08:37:979,89
08:38:000,89
08:38:020,89
08:38:040,89
08:38:061,89
08:38:081,90
08:38:102,89
08:38:122,89
08:38:139,89
08:38:159,89
08:38:180,89
08:38:200,89
08:38:221,90
08:38:241,89
08:38:262,89
08:38:282,89
08:38:302,90
08:38:323,89
08:38:343,90
08:38:364,90
08:38:384,90
08:38:405,90
08:38:426,90
08:38:446,90
08:38:467,89
08:38:487,90
08:38:507,90
08:38:528,89
08:38:549,89
08:38:569,89
08:38:589,89
08:38:610,89
08:38:630,89
08:38:651,89
08:38:671,89
08:38:692,89
08:38:712,88
08:38:733,89
08:38:753,88
08:38:774,88
08:38:794,88
08:38:815,88
08:38:835,88
08:38:856,88
08:38:876,87
08:38:893,87
08:38:913,87
08:38:933,87
08:38:953,87
08:38:975,86
08:38:995,86
08:39:015,86
08:39:036,86
08:39:057,86
08:39:077,86
08:39:097,87
08:39:118,87
08:39:138,87
08:39:158,86
08:39:179,86
08:39:200,86
08:39:220,86
08:39:240,85
08:39:261,86
08:39:282,85
08:39:302,85
08:39:323,85
08:39:343,85
08:39:364,85
08:39:383,84
08:39:404,84
08:39:425,85
08:39:445,85
08:39:466,85
08:39:487,85
08:39:507,84
08:39:527,85
08:39:548,84
08:39:568,84
08:39:589,84
08:39:610,84
08:39:630,84
08:39:650,84
08:39:667,85
08:39:687,84
08:39:707,84
08:39:728,84
08:39:748,85
08:39:769,84
08:39:789,85
08:39:810,85
08:39:830,85
08:39:851,85
08:39:871,85
08:39:892,85
08:39:913,86
08:39:933,86
08:39:953,266
08:39:974,86
08:39:994,85
08:40:015,85
08:40:036,85
08:40:055,86
08:40:076,85
08:40:097,85
08:40:117,85
08:40:137,85
08:40:158,85
08:40:179,85
08:40:199,85
08:40:219,85
08:40:240,85
08:40:261,85
08:40:281,85
08:40:302,85
08:40:322,84
08:40:342,85
08:40:362,85
08:40:383,85
08:40:403,84
08:40:420,84
08:40:441,84
08:40:461,84
08:40:482,84
08:40:502,84
08:40:523,84
08:40:543,84
08:40:564,85
08:40:584,85
08:40:605,85
08:40:625,85
08:40:645,85
08:40:665,84
08:40:687,84
08:40:706,84
08:40:727,84
08:40:748,84
08:40:769,85
08:40:789,84
08:40:810,84
08:40:830,84
08:40:851,83
08:40:871,84
08:40:891,84
08:40:912,84
08:40:932,84
08:40:953,84
08:40:973,84
08:40:994,84
08:41:014,84
08:41:034,84
08:41:055,84
08:41:075,84
08:41:095,84
08:41:116,84
08:41:137,85
08:41:158,84
08:41:178,85
08:41:194,85
08:41:215,85
08:41:235,85
08:41:255,84
08:41:276,85
08:41:297,85
08:41:318,85
08:41:338,85
08:41:358,85
08:41:379,86
08:41:399,86
08:41:420,86
08:41:440,86
08:41:461,86
08:41:481,85
08:41:502,86
08:41:522,86
08:41:542,86
08:41:563,86
08:41:584,86
08:41:603,87
08:41:625,86
08:41:645,86
08:41:665,86
08:41:686,86
08:41:706,87
08:41:727,87
08:41:748,87
08:41:768,87
08:41:789,87
08:41:808,86
08:41:829,87
08:41:849,87
08:41:870,87
08:41:891,87
08:41:907,87
08:41:932,87
08:41:947,87
08:41:969,87
08:41:989,88
08:42:010,88
08:42:030,88
08:42:050,88
08:42:071,88
08:42:091,89
08:42:112,89
08:42:133,89
08:42:153,89
08:42:173,89
08:42:193,89
08:42:214,90
08:42:234,89
08:42:255,89
08:42:275,89
08:42:296,90
08:42:316,90
08:42:337,90
08:42:357,90
08:42:378,89
08:42:399,89
08:42:419,91
08:42:440,90
08:42:459,90
08:42:480,90
08:42:501,90
08:42:522,90
08:42:542,90
