TimeStamp, GSRValue
37:24:685,152
37:24:706,151
37:24:726,151
37:24:747,151
37:24:766,151
37:24:788,151
37:24:808,150
37:24:829,150
37:24:849,150
37:24:869,150
37:24:890,150
37:24:911,150
37:24:931,150
37:24:951,151
37:24:971,151
37:24:992,150
37:25:012,151
37:25:034,150
37:25:053,151
37:25:074,152
37:25:095,151
37:25:116,151
37:25:136,151
37:25:156,151
37:25:176,151
37:25:197,152
37:25:217,152
37:25:238,152
37:25:258,152
37:25:279,152
37:25:300,152
37:25:320,152
37:25:340,152
37:25:360,151
37:25:381,151
37:25:402,150
37:25:422,150
37:25:442,150
37:25:463,150
37:25:483,150
37:25:504,151
37:25:525,151
37:25:545,151
37:25:565,151
37:25:586,151
37:25:607,151
37:25:627,152
37:25:647,151
37:25:668,152
37:25:688,151
37:25:709,151
37:25:729,151
37:25:746,151
37:25:766,151
37:25:786,151
37:25:807,151
37:25:828,151
37:25:848,151
37:25:868,150
37:25:889,151
37:25:910,150
37:25:931,150
37:25:951,150
37:25:971,151
37:25:992,151
37:26:012,151
37:26:032,151
37:26:053,151
37:26:074,151
37:26:094,151
37:26:115,152
37:26:135,151
37:26:156,151
37:26:176,151
37:26:196,151
37:26:217,151
37:26:237,151
37:26:258,151
37:26:278,151
37:26:299,151
37:26:320,150
37:26:340,151
37:26:360,151
37:26:381,151
37:26:401,151
37:26:422,151
37:26:443,151
37:26:463,151
37:26:484,150
37:26:504,144
37:26:524,142
37:26:545,143
37:26:565,143
37:26:585,145
37:26:606,145
37:26:626,146
37:26:647,146
37:26:668,147
37:26:687,147
37:26:708,148
37:26:729,148
37:26:749,148
37:26:770,149
37:26:790,149
37:26:810,149
37:26:831,150
37:26:852,150
37:26:872,150
37:26:893,150
37:26:913,150
37:26:934,151
37:26:954,151
37:26:975,151
37:26:995,150
37:27:016,151
37:27:036,151
37:27:057,151
37:27:077,151
37:27:097,151
37:27:118,151
37:27:138,151
37:27:159,151
37:27:179,151
37:27:196,151
37:27:220,151
37:27:237,151
37:27:257,151
37:27:278,151
37:27:298,151
37:27:319,151
37:27:340,151
37:27:360,151
37:27:380,151
37:27:401,151
37:27:422,152
37:27:441,151
37:27:462,151
37:27:483,151
37:27:503,152
37:27:523,151
37:27:544,152
37:27:564,151
37:27:585,151
37:27:605,152
37:27:626,152
37:27:647,151
37:27:666,151
37:27:688,151
37:27:708,152
37:27:729,151
37:27:749,152
37:27:770,151
37:27:790,151
37:27:810,152
37:27:831,151
37:27:852,151
37:27:872,151
37:27:892,151
37:27:913,152
37:27:933,151
37:27:953,151
37:27:974,151
37:27:995,151
37:28:015,151
37:28:035,151
37:28:056,151
37:28:076,151
37:28:097,151
37:28:117,151
37:28:138,150
37:28:159,151
37:28:179,151
37:28:199,150
37:28:220,151
37:28:240,151
37:28:260,151
37:28:281,151
37:28:301,151
37:28:322,151
37:28:343,151
37:28:363,151
37:28:384,151
37:28:404,150
37:28:424,150
37:28:445,150
37:28:465,150
37:28:486,150
37:28:506,150
37:28:526,150
37:28:547,149
37:28:567,149
37:28:589,149
37:28:609,150
37:28:630,150
37:28:650,149
37:28:671,150
37:28:687,149
37:28:707,149
37:28:728,149
37:28:748,149
37:28:769,148
37:28:789,149
37:28:809,149
37:28:830,149
37:28:851,149
37:28:871,149
37:28:891,148
37:28:912,148
37:28:933,148
37:28:952,148
37:28:973,148
37:28:994,148
37:29:014,148
37:29:035,148
37:29:055,148
37:29:076,148
37:29:097,148
37:29:116,148
37:29:137,147
37:29:158,148
37:29:178,148
37:29:199,147
37:29:219,148
37:29:239,147
37:29:260,147
37:29:280,147
37:29:301,147
37:29:322,148
37:29:342,147
37:29:363,147
37:29:383,147
37:29:404,147
37:29:424,147
37:29:445,147
37:29:464,148
37:29:486,147
37:29:506,147
37:29:526,147
37:29:547,146
37:29:567,146
37:29:588,146
37:29:608,145
37:29:629,146
37:29:649,146
37:29:670,147
37:29:690,147
37:29:711,147
37:29:731,147
37:29:751,147
37:29:772,147
37:29:792,146
37:29:813,146
37:29:833,146
37:29:854,145
37:29:875,146
37:29:895,145
37:29:915,145
37:29:936,145
37:29:957,144
37:29:973,145
37:29:993,145
37:30:014,145
37:30:035,146
37:30:054,145
37:30:075,146
37:30:096,145
37:30:116,145
37:30:137,145
37:30:157,145
37:30:177,145
